gym_name,day_of_week,hour,busyness_percent,hour_24,is_weekend,semester_week,is_exam_week,weather,capacity_label
College Avenue Gym,Monday,7:00 AM,15,7,False,1,False,rain,Low
College Avenue Gym,Monday,8:00 AM,25,8,False,1,False,rain,Low
College Avenue Gym,Monday,9:00 AM,28,9,False,1,False,rain,Low
College Avenue Gym,Monday,10:00 AM,23,10,False,1,False,rain,Low
College Avenue Gym,Monday,11:00 AM,20,11,False,1,False,rain,Low
College Avenue Gym,Monday,12:00 PM,20,12,False,1,False,rain,Low
College Avenue Gym,Monday,1:00 PM,25,13,False,1,False,rain,Low
College Avenue Gym,Monday,2:00 PM,25,14,False,1,False,rain,Low
College Avenue Gym,Monday,3:00 PM,35,15,False,1,False,rain,Low
College Avenue Gym,Monday,4:00 PM,50,16,False,1,False,rain,Medium
College Avenue Gym,Monday,5:00 PM,70,17,False,1,False,rain,High
College Avenue Gym,Monday,6:00 PM,85,18,False,1,False,rain,High
College Avenue Gym,Monday,7:00 PM,90,19,False,1,False,rain,High
College Avenue Gym,Monday,8:00 PM,80,20,False,1,False,rain,High
College Avenue Gym,Monday,9:00 PM,80,21,False,1,False,rain,High
College Avenue Gym,Monday,10:00 PM,55,22,False,1,False,rain,Medium
College Avenue Gym,Tuesday,11:00 AM,25,11,False,1,False,clear,Low
College Avenue Gym,Tuesday,12:00 PM,30,12,False,1,False,clear,Low
College Avenue Gym,Tuesday,1:00 PM,28,13,False,1,False,clear,Low
College Avenue Gym,Tuesday,2:00 PM,32,14,False,1,False,clear,Low
College Avenue Gym,Tuesday,3:00 PM,45,15,False,1,False,clear,Medium
College Avenue Gym,Tuesday,4:00 PM,60,16,False,1,False,clear,Medium
College Avenue Gym,Tuesday,5:00 PM,75,17,False,1,False,clear,High
College Avenue Gym,Tuesday,6:00 PM,75,18,False,1,False,clear,High
College Avenue Gym,Tuesday,7:00 PM,65,19,False,1,False,clear,Medium
College Avenue Gym,Tuesday,8:00 PM,45,20,False,2,False,clear,Medium
College Avenue Gym,Wednesday,7:00 AM,20,7,False,2,False,rain,Low
College Avenue Gym,Wednesday,8:00 AM,18,8,False,2,False,rain,Low
College Avenue Gym,Wednesday,9:00 AM,20,9,False,2,False,rain,Low
College Avenue Gym,Wednesday,10:00 AM,20,10,False,2,False,rain,Low
College Avenue Gym,Wednesday,11:00 AM,23,11,False,2,False,rain,Low
College Avenue Gym,Wednesday,12:00 PM,20,12,False,2,False,rain,Low
College Avenue Gym,Wednesday,1:00 PM,20,13,False,2,False,rain,Low
College Avenue Gym,Wednesday,2:00 PM,20,14,False,2,False,rain,Low
College Avenue Gym,Wednesday,3:00 PM,30,15,False,2,False,rain,Low
College Avenue Gym,Wednesday,4:00 PM,45,16,False,2,False,rain,Medium
College Avenue Gym,Wednesday,5:00 PM,70,17,False,2,False,rain,High
College Avenue Gym,Wednesday,6:00 PM,85,18,False,2,False,rain,High
College Avenue Gym,Wednesday,7:00 PM,80,19,False,2,False,rain,High
College Avenue Gym,Wednesday,8:00 PM,65,20,False,2,False,rain,Medium
College Avenue Gym,Wednesday,9:00 PM,45,21,False,2,False,rain,Medium
College Avenue Gym,Wednesday,10:00 PM,35,22,False,2,False,rain,Low
College Avenue Gym,Thursday,7:00 AM,25,7,False,2,False,clear,Low
College Avenue Gym,Thursday,8:00 AM,23,8,False,2,False,clear,Low
College Avenue Gym,Thursday,9:00 AM,20,9,False,2,False,clear,Low
College Avenue Gym,Thursday,10:00 AM,18,10,False,2,False,clear,Low
College Avenue Gym,Thursday,11:00 AM,22,11,False,2,False,clear,Low
College Avenue Gym,Thursday,12:00 PM,25,12,False,2,False,clear,Low
College Avenue Gym,Thursday,1:00 PM,30,13,False,2,False,clear,Low
College Avenue Gym,Thursday,2:00 PM,35,14,False,2,False,clear,Low
College Avenue Gym,Thursday,3:00 PM,45,15,False,3,False,clear,Medium
College Avenue Gym,Thursday,4:00 PM,65,16,False,3,False,clear,Medium
College Avenue Gym,Thursday,5:00 PM,75,17,False,3,False,clear,High
College Avenue Gym,Thursday,6:00 PM,80,18,False,3,False,clear,High
College Avenue Gym,Thursday,7:00 PM,78,19,False,3,False,clear,High
College Avenue Gym,Thursday,8:00 PM,75,20,False,3,False,clear,High
College Avenue Gym,Thursday,9:00 PM,75,21,False,3,False,clear,High
College Avenue Gym,Thursday,10:00 PM,60,22,False,3,False,clear,Medium
College Avenue Gym,Friday,7:00 AM,15,7,False,3,False,clear,Low
College Avenue Gym,Friday,8:00 AM,25,8,False,3,False,clear,Low
College Avenue Gym,Friday,9:00 AM,35,9,False,3,False,clear,Low
College Avenue Gym,Friday,10:00 AM,40,10,False,3,False,clear,Medium
College Avenue Gym,Friday,11:00 AM,42,11,False,3,False,clear,Medium
College Avenue Gym,Friday,12:00 PM,38,12,False,3,False,clear,Low
College Avenue Gym,Friday,1:00 PM,35,13,False,3,False,clear,Low
College Avenue Gym,Friday,2:00 PM,40,14,False,3,False,clear,Medium
College Avenue Gym,Friday,3:00 PM,42,15,False,3,False,clear,Medium
College Avenue Gym,Friday,4:00 PM,55,16,False,3,False,clear,Medium
College Avenue Gym,Friday,5:00 PM,60,17,False,3,False,clear,Medium
College Avenue Gym,Friday,6:00 PM,65,18,False,3,False,clear,Medium
College Avenue Gym,Friday,7:00 PM,55,19,False,3,False,clear,Medium
College Avenue Gym,Friday,8:00 PM,40,20,False,3,False,clear,Medium
College Avenue Gym,Saturday,11:00 AM,55,11,True,3,False,clear,Medium
College Avenue Gym,Saturday,12:00 PM,60,12,True,3,False,clear,Medium
College Avenue Gym,Saturday,1:00 PM,55,13,True,3,False,clear,Medium
College Avenue Gym,Saturday,2:00 PM,45,14,True,4,False,clear,Medium
College Avenue Gym,Saturday,3:00 PM,40,15,True,4,False,clear,Medium
College Avenue Gym,Saturday,4:00 PM,45,16,True,4,False,clear,Medium
College Avenue Gym,Saturday,5:00 PM,42,17,True,4,False,clear,Medium
College Avenue Gym,Saturday,6:00 PM,40,18,True,4,False,clear,Medium
College Avenue Gym,Sunday,11:00 AM,55,11,True,4,False,clear,Medium
College Avenue Gym,Sunday,12:00 PM,50,12,True,4,False,clear,Medium
College Avenue Gym,Sunday,1:00 PM,45,13,True,4,False,clear,Medium
College Avenue Gym,Sunday,2:00 PM,40,14,True,4,False,clear,Medium
College Avenue Gym,Sunday,3:00 PM,42,15,True,4,False,clear,Medium
College Avenue Gym,Sunday,4:00 PM,40,16,True,4,False,clear,Medium
College Avenue Gym,Sunday,5:00 PM,45,17,True,4,False,clear,Medium
College Avenue Gym,Sunday,6:00 PM,45,18,True,4,False,clear,Medium
College Avenue Gym,Sunday,7:00 PM,45,19,True,4,False,clear,Medium
College Avenue Gym,Sunday,8:00 PM,35,20,True,4,False,clear,Low
Livingston Recreation Center,Monday,8:00 AM,35,8,False,4,False,rain,Low
Livingston Recreation Center,Monday,9:00 AM,45,9,False,4,False,rain,Medium
Livingston Recreation Center,Monday,10:00 AM,40,10,False,4,False,rain,Medium
Livingston Recreation Center,Monday,11:00 AM,35,11,False,4,False,rain,Low
Livingston Recreation Center,Monday,12:00 PM,35,12,False,4,False,rain,Low
Livingston Recreation Center,Monday,1:00 PM,38,13,False,4,False,rain,Low
Livingston Recreation Center,Monday,2:00 PM,38,14,False,4,False,rain,Low
Livingston Recreation Center,Monday,3:00 PM,45,15,False,4,False,rain,Medium
Livingston Recreation Center,Monday,4:00 PM,55,16,False,4,False,rain,Medium
Livingston Recreation Center,Monday,5:00 PM,58,17,False,4,False,rain,Medium
Livingston Recreation Center,Monday,6:00 PM,65,18,False,5,False,rain,Medium
Livingston Recreation Center,Monday,7:00 PM,70,19,False,5,False,rain,High
Livingston Recreation Center,Monday,8:00 PM,80,20,False,5,False,rain,High
Livingston Recreation Center,Monday,9:00 PM,80,21,False,5,False,rain,High
Livingston Recreation Center,Monday,10:00 PM,55,22,False,5,False,rain,Medium
Livingston Recreation Center,Tuesday,3:00 PM,70,15,False,5,False,clear,High
Livingston Recreation Center,Tuesday,4:00 PM,70,16,False,5,False,clear,High
Livingston Recreation Center,Tuesday,5:00 PM,70,17,False,5,False,clear,High
Livingston Recreation Center,Tuesday,6:00 PM,70,18,False,5,False,clear,High
Livingston Recreation Center,Tuesday,7:00 PM,72,19,False,5,False,clear,High
Livingston Recreation Center,Tuesday,8:00 PM,55,20,False,5,False,clear,Medium
Livingston Recreation Center,Wednesday,8:00 AM,35,8,False,5,False,rain,Low
Livingston Recreation Center,Wednesday,9:00 AM,40,9,False,5,False,rain,Medium
Livingston Recreation Center,Wednesday,10:00 AM,42,10,False,5,False,rain,Medium
Livingston Recreation Center,Wednesday,11:00 AM,40,11,False,5,False,rain,Medium
Livingston Recreation Center,Wednesday,12:00 PM,42,12,False,5,False,rain,Medium
Livingston Recreation Center,Wednesday,1:00 PM,55,13,False,5,False,rain,Medium
Livingston Recreation Center,Wednesday,2:00 PM,60,14,False,5,False,rain,Medium
Livingston Recreation Center,Wednesday,3:00 PM,58,15,False,5,False,rain,Medium
Livingston Recreation Center,Wednesday,4:00 PM,50,16,False,5,False,rain,Medium
Livingston Recreation Center,Wednesday,5:00 PM,45,17,False,5,False,rain,Medium
Livingston Recreation Center,Wednesday,6:00 PM,58,18,False,5,False,rain,Medium
Livingston Recreation Center,Wednesday,7:00 PM,75,19,False,5,False,rain,High
Livingston Recreation Center,Wednesday,8:00 PM,85,20,False,5,False,rain,High
Livingston Recreation Center,Wednesday,9:00 PM,60,21,False,5,False,rain,Medium
Livingston Recreation Center,Wednesday,10:00 PM,40,22,False,6,False,rain,Medium
Livingston Recreation Center,Thursday,8:00 AM,30,8,False,6,False,clear,Low
Livingston Recreation Center,Thursday,9:00 AM,35,9,False,6,False,clear,Low
Livingston Recreation Center,Thursday,10:00 AM,32,10,False,6,False,clear,Low
Livingston Recreation Center,Thursday,11:00 AM,30,11,False,6,False,clear,Low
Livingston Recreation Center,Thursday,12:00 PM,25,12,False,6,False,clear,Low
Livingston Recreation Center,Thursday,1:00 PM,30,13,False,6,False,clear,Low
Livingston Recreation Center,Thursday,2:00 PM,40,14,False,6,False,clear,Medium
Livingston Recreation Center,Thursday,3:00 PM,55,15,False,6,False,clear,Medium
Livingston Recreation Center,Thursday,4:00 PM,65,16,False,6,False,clear,Medium
Livingston Recreation Center,Thursday,5:00 PM,55,17,False,6,False,clear,Medium
Livingston Recreation Center,Thursday,6:00 PM,60,18,False,6,False,clear,Medium
Livingston Recreation Center,Thursday,7:00 PM,50,19,False,6,False,clear,Medium
Livingston Recreation Center,Thursday,8:00 PM,45,20,False,6,False,clear,Medium
Livingston Recreation Center,Thursday,9:00 PM,42,21,False,6,False,clear,Medium
Livingston Recreation Center,Thursday,10:00 PM,35,22,False,6,False,clear,Low
Livingston Recreation Center,Friday,8:00 AM,20,8,False,6,False,clear,Low
Livingston Recreation Center,Friday,9:00 AM,25,9,False,6,False,clear,Low
Livingston Recreation Center,Friday,10:00 AM,30,10,False,6,False,clear,Low
Livingston Recreation Center,Friday,11:00 AM,35,11,False,6,False,clear,Low
Livingston Recreation Center,Friday,12:00 PM,38,12,False,6,False,clear,Low
Livingston Recreation Center,Friday,1:00 PM,42,13,False,6,False,clear,Medium
Livingston Recreation Center,Friday,2:00 PM,45,14,False,6,False,clear,Medium
Livingston Recreation Center,Friday,3:00 PM,48,15,False,6,False,clear,Medium
Livingston Recreation Center,Friday,4:00 PM,55,16,False,6,False,clear,Medium
Livingston Recreation Center,Friday,5:00 PM,50,17,False,7,False,clear,Medium
Livingston Recreation Center,Friday,6:00 PM,50,18,False,7,False,clear,Medium
Livingston Recreation Center,Saturday,11:00 AM,15,11,True,7,False,clear,Low
Livingston Recreation Center,Saturday,12:00 PM,20,12,True,7,False,clear,Low
Livingston Recreation Center,Saturday,1:00 PM,25,13,True,7,False,clear,Low
Livingston Recreation Center,Saturday,2:00 PM,30,14,True,7,False,clear,Low
Livingston Recreation Center,Saturday,3:00 PM,35,15,True,7,False,clear,Low
Livingston Recreation Center,Saturday,4:00 PM,40,16,True,7,False,clear,Medium
Livingston Recreation Center,Saturday,5:00 PM,38,17,True,7,False,clear,Low
Livingston Recreation Center,Saturday,6:00 PM,38,18,True,7,False,clear,Low
Livingston Recreation Center,Sunday,11:00 AM,30,11,True,7,False,clear,Low
Livingston Recreation Center,Sunday,12:00 PM,32,12,True,7,False,clear,Low
Livingston Recreation Center,Sunday,1:00 PM,35,13,True,7,False,clear,Low
Livingston Recreation Center,Sunday,2:00 PM,30,14,True,7,False,clear,Low
Livingston Recreation Center,Sunday,3:00 PM,32,15,True,7,False,clear,Low
Livingston Recreation Center,Sunday,4:00 PM,35,16,True,7,False,clear,Low
Livingston Recreation Center,Sunday,5:00 PM,38,17,True,7,False,clear,Low
Livingston Recreation Center,Sunday,6:00 PM,40,18,True,7,False,clear,Medium
Livingston Recreation Center,Sunday,7:00 PM,40,19,True,7,False,clear,Medium
Livingston Recreation Center,Sunday,8:00 PM,35,20,True,7,False,clear,Low
Sonny Werblin Recreation Center,Monday,9:00 AM,25,9,False,7,False,rain,Low
Sonny Werblin Recreation Center,Monday,10:00 AM,28,10,False,7,False,rain,Low
Sonny Werblin Recreation Center,Monday,11:00 AM,28,11,False,7,False,rain,Low
Sonny Werblin Recreation Center,Monday,12:00 PM,28,12,False,7,False,rain,Low
Sonny Werblin Recreation Center,Monday,1:00 PM,28,13,False,7,False,rain,Low
Sonny Werblin Recreation Center,Monday,2:00 PM,30,14,False,8,False,rain,Low
Sonny Werblin Recreation Center,Monday,3:00 PM,45,15,False,8,False,rain,Medium
Sonny Werblin Recreation Center,Monday,4:00 PM,55,16,False,8,False,rain,Medium
Sonny Werblin Recreation Center,Monday,5:00 PM,85,17,False,8,False,rain,High
Sonny Werblin Recreation Center,Monday,6:00 PM,90,18,False,8,False,rain,High
Sonny Werblin Recreation Center,Monday,7:00 PM,88,19,False,8,False,rain,High
Sonny Werblin Recreation Center,Monday,8:00 PM,65,20,False,8,False,rain,Medium
Sonny Werblin Recreation Center,Monday,9:00 PM,45,21,False,8,False,rain,Medium
Sonny Werblin Recreation Center,Monday,10:00 PM,35,22,False,8,False,rain,Low
Sonny Werblin Recreation Center,Tuesday,11:00 AM,35,11,False,8,False,clear,Low
Sonny Werblin Recreation Center,Tuesday,12:00 PM,30,12,False,8,False,clear,Low
Sonny Werblin Recreation Center,Tuesday,1:00 PM,30,13,False,8,False,clear,Low
Sonny Werblin Recreation Center,Tuesday,2:00 PM,30,14,False,8,False,clear,Low
Sonny Werblin Recreation Center,Tuesday,3:00 PM,38,15,False,8,False,clear,Low
Sonny Werblin Recreation Center,Tuesday,4:00 PM,50,16,False,8,False,clear,Medium
Sonny Werblin Recreation Center,Tuesday,5:00 PM,75,17,False,8,False,clear,High
Sonny Werblin Recreation Center,Tuesday,6:00 PM,85,18,False,8,False,clear,High
Sonny Werblin Recreation Center,Tuesday,7:00 PM,80,19,False,8,False,clear,High
Sonny Werblin Recreation Center,Tuesday,8:00 PM,70,20,False,8,False,clear,High
Sonny Werblin Recreation Center,Wednesday,9:00 AM,25,9,False,8,False,rain,Low
Sonny Werblin Recreation Center,Wednesday,10:00 AM,32,10,False,8,False,rain,Low
Sonny Werblin Recreation Center,Wednesday,11:00 AM,35,11,False,8,False,rain,Low
Sonny Werblin Recreation Center,Wednesday,12:00 PM,35,12,False,8,False,rain,Low
Sonny Werblin Recreation Center,Wednesday,1:00 PM,32,13,False,8,False,rain,Low
Sonny Werblin Recreation Center,Wednesday,2:00 PM,32,14,False,8,False,rain,Low
Sonny Werblin Recreation Center,Wednesday,3:00 PM,38,15,False,9,False,rain,Low
Sonny Werblin Recreation Center,Wednesday,4:00 PM,55,16,False,9,False,rain,Medium
Sonny Werblin Recreation Center,Wednesday,5:00 PM,78,17,False,9,False,rain,High
Sonny Werblin Recreation Center,Wednesday,6:00 PM,95,18,False,9,False,rain,High
Sonny Werblin Recreation Center,Wednesday,7:00 PM,90,19,False,9,False,rain,High
Sonny Werblin Recreation Center,Wednesday,8:00 PM,70,20,False,9,False,rain,High
Sonny Werblin Recreation Center,Wednesday,9:00 PM,48,21,False,9,False,rain,Medium
Sonny Werblin Recreation Center,Wednesday,10:00 PM,35,22,False,9,False,rain,Low
Sonny Werblin Recreation Center,Thursday,9:00 AM,30,9,False,9,False,clear,Low
Sonny Werblin Recreation Center,Thursday,10:00 AM,35,10,False,9,False,clear,Low
Sonny Werblin Recreation Center,Thursday,11:00 AM,38,11,False,9,False,clear,Low
Sonny Werblin Recreation Center,Thursday,12:00 PM,35,12,False,9,False,clear,Low
Sonny Werblin Recreation Center,Thursday,1:00 PM,35,13,False,9,False,clear,Low
Sonny Werblin Recreation Center,Thursday,2:00 PM,40,14,False,9,False,clear,Medium
Sonny Werblin Recreation Center,Thursday,3:00 PM,45,15,False,9,False,clear,Medium
Sonny Werblin Recreation Center,Thursday,4:00 PM,60,16,False,9,False,clear,Medium
Sonny Werblin Recreation Center,Thursday,5:00 PM,80,17,False,9,False,clear,High
Sonny Werblin Recreation Center,Thursday,6:00 PM,90,18,False,9,False,clear,High
Sonny Werblin Recreation Center,Thursday,7:00 PM,80,19,False,9,False,clear,High
Sonny Werblin Recreation Center,Thursday,8:00 PM,65,20,False,9,False,clear,Medium
Sonny Werblin Recreation Center,Thursday,9:00 PM,55,21,False,9,False,clear,Medium
Sonny Werblin Recreation Center,Thursday,10:00 PM,35,22,False,9,False,clear,Low
Sonny Werblin Recreation Center,Friday,7:00 AM,20,7,False,9,False,clear,Low
Sonny Werblin Recreation Center,Friday,8:00 AM,25,8,False,9,False,clear,Low
Sonny Werblin Recreation Center,Friday,9:00 AM,30,9,False,9,False,clear,Low
Sonny Werblin Recreation Center,Friday,10:00 AM,35,10,False,10,False,clear,Low
Sonny Werblin Recreation Center,Friday,11:00 AM,45,11,False,10,False,clear,Medium
Sonny Werblin Recreation Center,Friday,12:00 PM,48,12,False,10,False,clear,Medium
Sonny Werblin Recreation Center,Friday,1:00 PM,45,13,False,10,False,clear,Medium
Sonny Werblin Recreation Center,Friday,2:00 PM,42,14,False,10,False,clear,Medium
Sonny Werblin Recreation Center,Friday,3:00 PM,45,15,False,10,False,clear,Medium
Sonny Werblin Recreation Center,Friday,4:00 PM,55,16,False,10,False,clear,Medium
Sonny Werblin Recreation Center,Friday,5:00 PM,70,17,False,10,False,clear,High
Sonny Werblin Recreation Center,Friday,6:00 PM,75,18,False,10,False,clear,High
Sonny Werblin Recreation Center,Friday,7:00 PM,70,19,False,10,False,clear,High
Sonny Werblin Recreation Center,Friday,8:00 PM,45,20,False,10,False,clear,Medium
Sonny Werblin Recreation Center,Saturday,11:00 AM,40,11,True,10,False,clear,Medium
Sonny Werblin Recreation Center,Saturday,12:00 PM,45,12,True,10,False,clear,Medium
Sonny Werblin Recreation Center,Saturday,1:00 PM,48,13,True,10,False,clear,Medium
Sonny Werblin Recreation Center,Saturday,2:00 PM,48,14,True,10,False,clear,Medium
Sonny Werblin Recreation Center,Saturday,3:00 PM,55,15,True,10,False,clear,Medium
Sonny Werblin Recreation Center,Saturday,4:00 PM,58,16,True,10,False,clear,Medium
Sonny Werblin Recreation Center,Saturday,5:00 PM,55,17,True,10,False,clear,Medium
Sonny Werblin Recreation Center,Saturday,6:00 PM,45,18,True,10,False,clear,Medium
Sonny Werblin Recreation Center,Sunday,11:00 AM,40,11,True,10,False,clear,Medium
Sonny Werblin Recreation Center,Sunday,12:00 PM,45,12,True,10,False,clear,Medium
Sonny Werblin Recreation Center,Sunday,1:00 PM,48,13,True,10,False,clear,Medium
Sonny Werblin Recreation Center,Sunday,2:00 PM,52,14,True,10,False,clear,Medium
Sonny Werblin Recreation Center,Sunday,3:00 PM,55,15,True,10,False,clear,Medium
Sonny Werblin Recreation Center,Sunday,4:00 PM,60,16,True,10,False,clear,Medium
Sonny Werblin Recreation Center,Sunday,5:00 PM,55,17,True,11,False,clear,Medium
Sonny Werblin Recreation Center,Sunday,6:00 PM,45,18,True,11,False,clear,Medium
Cook/Douglass Recreation Center,Monday,8:00 AM,10,8,False,11,False,rain,Low
Cook/Douglass Recreation Center,Monday,9:00 AM,15,9,False,11,False,rain,Low
Cook/Douglass Recreation Center,Monday,10:00 AM,20,10,False,11,False,rain,Low
Cook/Douglass Recreation Center,Monday,11:00 AM,20,11,False,11,False,rain,Low
Cook/Douglass Recreation Center,Monday,12:00 PM,20,12,False,11,False,rain,Low
Cook/Douglass Recreation Center,Monday,1:00 PM,18,13,False,11,False,rain,Low
Cook/Douglass Recreation Center,Monday,2:00 PM,18,14,False,11,False,rain,Low
Cook/Douglass Recreation Center,Monday,3:00 PM,22,15,False,11,False,rain,Low
Cook/Douglass Recreation Center,Monday,4:00 PM,25,16,False,11,False,rain,Low
Cook/Douglass Recreation Center,Monday,5:00 PM,30,17,False,11,False,rain,Low
Cook/Douglass Recreation Center,Monday,6:00 PM,30,18,False,11,False,rain,Low
Cook/Douglass Recreation Center,Monday,7:00 PM,32,19,False,11,False,rain,Low
Cook/Douglass Recreation Center,Monday,8:00 PM,28,20,False,11,False,rain,Low
Cook/Douglass Recreation Center,Monday,9:00 PM,22,21,False,11,False,rain,Low
Cook/Douglass Recreation Center,Monday,10:00 PM,15,22,False,11,False,rain,Low
Cook/Douglass Recreation Center,Tuesday,3:00 PM,15,15,False,11,False,clear,Low
Cook/Douglass Recreation Center,Tuesday,4:00 PM,20,16,False,11,False,clear,Low
Cook/Douglass Recreation Center,Tuesday,5:00 PM,30,17,False,11,False,clear,Low
Cook/Douglass Recreation Center,Tuesday,6:00 PM,45,18,False,11,False,clear,Medium
Cook/Douglass Recreation Center,Tuesday,7:00 PM,60,19,False,11,False,clear,Medium
Cook/Douglass Recreation Center,Tuesday,8:00 PM,58,20,False,11,False,clear,Medium
Cook/Douglass Recreation Center,Wednesday,8:00 AM,15,8,False,11,False,rain,Low
Cook/Douglass Recreation Center,Wednesday,9:00 AM,18,9,False,11,False,rain,Low
Cook/Douglass Recreation Center,Wednesday,10:00 AM,25,10,False,12,False,rain,Low
Cook/Douglass Recreation Center,Wednesday,11:00 AM,25,11,False,12,False,rain,Low
Cook/Douglass Recreation Center,Wednesday,12:00 PM,22,12,False,12,False,rain,Low
Cook/Douglass Recreation Center,Wednesday,1:00 PM,20,13,False,12,False,rain,Low
Cook/Douglass Recreation Center,Wednesday,2:00 PM,20,14,False,12,False,rain,Low
Cook/Douglass Recreation Center,Wednesday,3:00 PM,25,15,False,12,False,rain,Low
Cook/Douglass Recreation Center,Wednesday,4:00 PM,30,16,False,12,False,rain,Low
Cook/Douglass Recreation Center,Wednesday,5:00 PM,35,17,False,12,False,rain,Low
Cook/Douglass Recreation Center,Wednesday,6:00 PM,40,18,False,12,False,rain,Medium
Cook/Douglass Recreation Center,Wednesday,7:00 PM,38,19,False,12,False,rain,Low
Cook/Douglass Recreation Center,Wednesday,8:00 PM,30,20,False,12,False,rain,Low
Cook/Douglass Recreation Center,Wednesday,9:00 PM,20,21,False,12,False,rain,Low
Cook/Douglass Recreation Center,Thursday,8:00 AM,12,8,False,12,False,clear,Low
Cook/Douglass Recreation Center,Thursday,9:00 AM,18,9,False,12,False,clear,Low
Cook/Douglass Recreation Center,Thursday,10:00 AM,22,10,False,12,False,clear,Low
Cook/Douglass Recreation Center,Thursday,11:00 AM,25,11,False,12,False,clear,Low
Cook/Douglass Recreation Center,Thursday,12:00 PM,22,12,False,12,False,clear,Low
Cook/Douglass Recreation Center,Thursday,1:00 PM,20,13,False,12,False,clear,Low
Cook/Douglass Recreation Center,Thursday,2:00 PM,20,14,False,12,False,clear,Low
Cook/Douglass Recreation Center,Thursday,3:00 PM,22,15,False,12,False,clear,Low
Cook/Douglass Recreation Center,Thursday,4:00 PM,30,16,False,12,False,clear,Low
Cook/Douglass Recreation Center,Thursday,5:00 PM,45,17,False,12,False,clear,Medium
Cook/Douglass Recreation Center,Thursday,6:00 PM,55,18,False,12,False,clear,Medium
Cook/Douglass Recreation Center,Thursday,7:00 PM,60,19,False,12,False,clear,Medium
Cook/Douglass Recreation Center,Thursday,8:00 PM,50,20,False,12,False,clear,Medium
Cook/Douglass Recreation Center,Thursday,9:00 PM,35,21,False,13,False,clear,Low
Cook/Douglass Recreation Center,Thursday,10:00 PM,25,22,False,13,False,clear,Low
Cook/Douglass Recreation Center,Friday,8:00 AM,10,8,False,13,False,clear,Low
Cook/Douglass Recreation Center,Friday,9:00 AM,12,9,False,13,False,clear,Low
Cook/Douglass Recreation Center,Friday,10:00 AM,15,10,False,13,False,clear,Low
Cook/Douglass Recreation Center,Friday,11:00 AM,15,11,False,13,False,clear,Low
Cook/Douglass Recreation Center,Friday,12:00 PM,18,12,False,13,False,clear,Low
Cook/Douglass Recreation Center,Friday,1:00 PM,20,13,False,13,False,clear,Low
Cook/Douglass Recreation Center,Friday,2:00 PM,22,14,False,13,False,clear,Low
Cook/Douglass Recreation Center,Friday,3:00 PM,30,15,False,13,False,clear,Low
Cook/Douglass Recreation Center,Friday,4:00 PM,45,16,False,13,False,clear,Medium
Cook/Douglass Recreation Center,Friday,5:00 PM,60,17,False,13,False,clear,Medium
Cook/Douglass Recreation Center,Friday,6:00 PM,50,18,False,13,False,clear,Medium
Cook/Douglass Recreation Center,Saturday,11:00 AM,20,11,True,13,False,clear,Low
Cook/Douglass Recreation Center,Saturday,12:00 PM,18,12,True,13,False,clear,Low
Cook/Douglass Recreation Center,Saturday,1:00 PM,15,13,True,13,False,clear,Low
Cook/Douglass Recreation Center,Saturday,2:00 PM,15,14,True,13,False,clear,Low
Cook/Douglass Recreation Center,Saturday,3:00 PM,18,15,True,13,False,clear,Low
Cook/Douglass Recreation Center,Saturday,4:00 PM,20,16,True,13,False,clear,Low
Cook/Douglass Recreation Center,Saturday,5:00 PM,18,17,True,13,False,clear,Low
Cook/Douglass Recreation Center,Saturday,6:00 PM,15,18,True,13,False,clear,Low
Cook/Douglass Recreation Center,Sunday,11:00 AM,45,11,True,13,False,clear,Medium
Cook/Douglass Recreation Center,Sunday,12:00 PM,40,12,True,13,False,clear,Medium
Cook/Douglass Recreation Center,Sunday,1:00 PM,30,13,True,13,False,clear,Low
Cook/Douglass Recreation Center,Sunday,2:00 PM,25,14,True,13,False,clear,Low
Cook/Douglass Recreation Center,Sunday,3:00 PM,22,15,True,14,True,clear,Low
Cook/Douglass Recreation Center,Sunday,4:00 PM,20,16,True,14,True,clear,Low
Cook/Douglass Recreation Center,Sunday,5:00 PM,18,17,True,14,True,clear,Low
Cook/Douglass Recreation Center,Sunday,6:00 PM,15,18,True,14,True,clear,Low
Cook/Douglass Recreation Center,Sunday,7:00 PM,15,19,True,14,True,clear,Low
Cook/Douglass Recreation Center,Sunday,8:00 PM,15,20,True,14,True,clear,Low
